developer,provider_count,mktShare,est_mips_2018,edition2015_base_status,provider_type_,provider_type_eligible clinician,provider_type_eligible hospital,market_impact_index
107,0.9787626962142197,0.35546613011401745,287,16,False,True,False,57.996021187141324
109,0.018467220683287166,0.006706908115358811,1,0,False,True,False,0.21124568277625125
110,0.0443213296398892,0.01609657947686117,310,16,False,True,False,62.026989638663004
70,1.0,0.4010731052984574,50,14,False,True,False,10.620321931589537
111,0.003693444136657433,0.0013413816230717671,163,15,False,True,False,32.60224913655525
112,0.7682363804247461,0.2790073775989268,263,16,False,True,False,53.06782040349205
113,1.0,0.46948356807511765,202,15,False,True,False,41.04084507042254
114,0.08864265927977838,0.032193158953722316,174,15,False,True,False,34.85397927732601
115,0.0221606648199446,0.008048289738430598,337,16,False,True,False,67.4134948193315
116,0.0,0.0,1,15,False,True,False,0.2
117,0.0332409972299169,0.012072434607645862,221,16,False,True,False,44.22024222899726
118,0.1329639889196676,0.0482897384305837,36,16,False,True,False,7.280968915989009
119,0.14035087719298245,0.0509725016767269,318,16,False,True,False,63.68546718909951
124,0.0332409972299169,0.012072434607645862,113,1,False,True,False,22.620242228997252
125,0.12188365650969528,0.0442655935613682,297,15,False,True,False,59.47422150632326
126,0.007386888273314867,0.0026827632461435295,18,16,False,True,False,3.6044982731105004
127,0.2696214219759926,0.0979208584842387,302,1,False,True,False,60.56418696853327
128,0.018467220683287166,0.006706908115358811,18,16,False,True,False,3.6112456827762514
120,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
130,0.0110803324099723,0.004024144869215287,18,16,False,True,False,3.606747409665751
131,0.003693444136657433,0.0013413816230717671,163,16,False,True,False,32.60224913655525
132,0.07017543859649122,0.02548625083836353,345,16,False,True,False,69.04273359454976
133,0.13665743305632502,0.04963112005365507,304,16,False,True,False,60.883218052544265
134,0.3176361957525392,0.11535881958417157,317,15,False,True,False,63.593425743751524
135,0.0,0.0,1,16,False,True,False,0.2
136,0.37303785780240073,0.13547954393024814,236,16,False,True,False,47.427162792080274
137,1.0,0.5311871227364187,134,16,False,True,False,27.459356136820926
139,0.055401662049861494,0.020120724346076483,1,16,False,True,False,0.2337370483287537
